Tct Id,Topic Name,LC URI,LC closeMatch,FAST_URI,FAST closeMatch,VIAF_URI,Wikidata_URI,Wikidata closeMatch
21399,consciousness,http://id.loc.gov/authorities/subjects/sh85031235,,http://id.worldcat.org/fast/875441,,,https://www.wikidata.org/entity/Q7087,
21402,Control,http://id.loc.gov/authorities/subjects/sh99004902,,,,,https://www.wikidata.org/entity/Q29017603,
21419,Darwinism,http://id.loc.gov/authorities/subjects/sh90004042,closeMatch,http://id.worldcat.org/fast/917302,closeMatch,,https://www.wikidata.org/entity/Q183493,
21424,daughters,http://id.loc.gov/authorities/subjects/sh85035899,,http://id.worldcat.org/fast/888134,,,https://www.wikidata.org/entity/Q308194,
21425,Father-daughter relationship,,,http://id.worldcat.org/fast/921891,,,https://www.wikidata.org/entity/Q1334052,closeMatch
21441,Depressive position,,,,,,https://www.wikidata.org/entity/Q21077753,
21456,"Dickens, Charles -- division between art and life in",,,,,,,
21459,"Dickens, Charles -- unconscious dynamics of, in image of woman in his works",,,,,,,
21477,Disinterestedness,,,,,,,
21484,Dread,,,,,,https://www.wikidata.org/entity/Q21261621,
21488,Dreams,http://id.loc.gov/authorities/subjects/sh85039483,,http://id.worldcat.org/fast/1198490,,,https://www.wikidata.org/entity/Q36348,
21495,Egoism,http://id.loc.gov/authorities/subjects/sh85041257,,http://id.worldcat.org/fast/903902,,,https://www.wikidata.org/entity/Q238350,
21497,Emma (Jane Austen),http://id.loc.gov/authorities/names/no2005107571,,,,https://viaf.org/viaf/178480306,https://www.wikidata.org/entity/Q223880,
21510,Existence,,,,,,https://www.wikidata.org/entity/Q468777,
21520,Existentialism,http://id.loc.gov/authorities/subjects/sh85046376,,http://id.worldcat.org/fast/918204,,,https://www.wikidata.org/entity/Q38066,
21523,Faces,,,http://id.worldcat.org/fast/919522,,,https://www.wikidata.org/entity/Q37017,
21531,Fallen woman -- Dickens's home for,,,,,,,
21537,Falsification -- in Little Dorrit,,,,,,,
21550,"Fantasy splits, in Dickens's relationship to women",,,,,,,
21553,Father-daughter relationship -- in literature,,,,,,,
21554,Father-daughter relationship -- in Little Dorrit,,,,,,,
21555,Father-daughter relationship -- in Our Mutual Friend,,,,,,,
21572,"Female, the",,,,,,https://www.wikidata.org/entity/Q6581072,
21589,"Frank, Lawrence",http://id.loc.gov/authorities/names/n82252005,,,,,,
21596,Fulfillment,,,http://id.worldcat.org/fast/1111892,closeMatch,,https://www.wikidata.org/entity/Q7448098,closeMatch
21600,"Genet, Jean",http://id.loc.gov/authorities/names/n79060478,,http://id.worldcat.org/fast/36640,,https://viaf.org/viaf/106050616,https://www.wikidata.org/entity/Q184622,
21611,Great Expectations (Dickens) -- orphan theme in,,,,,,,
21628,Hate,http://id.loc.gov/authorities/subjects/sh85059272,,http://id.worldcat.org/fast/951863,,,https://www.wikidata.org/entity/Q160232,
21638,Heroes,http://id.loc.gov/authorities/subjects/sh85060430,,http://id.worldcat.org/fast/955558,,,https://www.wikidata.org/entity/Q162244,
21639,Heroines,,,http://id.worldcat.org/fast/1177736,,,https://www.wikidata.org/entity/Q162244,closeMatch
21666,Ignorance,,,,,,https://www.wikidata.org/entity/Q815577,
21670,Illegitimacy -- Dickens's attitude toward,,,,,,,
21679,Image of woman,,,,,,,
21691,infancy,http://id.loc.gov/authorities/subjects/sh00006121,,http://id.worldcat.org/fast/972103,closeMatch,,https://www.wikidata.org/entity/Q998,closeMatch
21698,Infants,http://id.loc.gov/authorities/demographicTerms/dg2015060008,,http://id.worldcat.org/fast/972103,,,https://www.wikidata.org/entity/Q998,closeMatch
21713,Innocence,,,,,,https://www.wikidata.org/entity/Q359385,
21721,Instincts,http://id.loc.gov/authorities/subjects/sh85066739,,,,,https://www.wikidata.org/entity/Q18237,
21725,jealousy,http://id.loc.gov/authorities/subjects/sh85069852,,http://id.worldcat.org/fast/982225,,,https://www.wikidata.org/entity/Q6545811,
